region,total_cities,tier1,tier2,tier3,warehouse_candidates,demand_score,logistics_density,demand_share,tier1_ratio,candidate_ratio,density_ratio,RLI
West,1122,3,7,1112,5,229.6,0.2046,26.56,0.375,0.4166666666666667,0.998048780487805,0.3964
South,960,3,6,951,3,196.8,0.205,22.76,0.375,0.25,1.0,0.3462
North,1010,1,9,1000,2,206.4,0.2044,23.87,0.125,0.16666666666666666,0.9970731707317073,0.2717
East,586,1,4,581,1,119.6,0.2041,13.83,0.125,0.08333333333333333,0.9956097560975611,0.2097
Central,353,0,3,350,1,71.8,0.2034,8.3,0.0,0.08333333333333333,0.9921951219512195,0.1533
North-East,200,0,1,199,0,40.4,0.202,4.67,0.0,0.0,0.9853658536585367,0.1196
